topic_id,rank,keyword,weight,mapped_initial_aspect
7,15,great,0.08813280353187568,pelayanan
8,1,nyaman,2.9706299088817207,akomodasi
8,2,bersih,0.8427275588745144,akomodasi
8,3,bersih nyaman,0.5276089345759615,akomodasi
8,4,nyaman bersih,0.2629902361075888,akomodasi
8,5,sejuk,0.24440299164999849,akomodasi
8,6,bagus nyaman,0.17590945945402792,akomodasi
8,7,suasana,0.1625047444629946,akomodasi
8,8,keluarga,0.13367966034916612,akomodasi
8,9,indah nyaman,0.13081866845722964,akomodasi
8,10,suasana nyaman,0.12021868583301312,akomodasi
8,11,tenang,0.11729711924836653,akomodasi
8,12,sejuk nyaman,0.11706488543343616,akomodasi
8,13,enak nyaman,0.11129257166283238,akomodasi
8,14,cocok,0.09444897342111236,akomodasi
8,15,hotel,0.07996645569108887,akomodasi
9,1,nice,2.4213803870081763,pelayanan
9,2,view,0.8002041666439379,pelayanan
9,3,place,0.7551170106992485,pelayanan
9,4,nice view,0.4958676830984255,pelayanan
9,5,nice place,0.49570772439834443,pelayanan
9,6,food,0.3252103110734539,pelayanan
9,7,great,0.31826963502703504,pelayanan
9,8,lake,0.2945409978455035,pelayanan
9,9,beautiful,0.2400391065985964,pelayanan
9,10,amazing,0.22474032845883735,pelayanan
9,11,lake toba,0.15581114278177452,pelayanan
9,12,clean,0.1361671957345545,pelayanan
9,13,friendly,0.13297674232801218,pelayanan
9,14,view lake,0.13290905276864662,pelayanan
9,15,staff,0.12135577920952687,pelayanan
10,1,tidak,1.2629041002127164,akses_jalan
10,2,air,0.7557253797571493,akses_jalan
10,3,ramah,0.7464242045809961,akses_jalan
10,4,pelayanan,0.641939677255808,akses_jalan
10,5,kurang,0.6283238186772874,akses_jalan
10,6,bersih,0.5733409286315574,akses_jalan
10,7,makan,0.569653527171779,akses_jalan
10,8,makanan,0.5605821082679129,akses_jalan
10,9,harga,0.5574779286835222,akses_jalan
10,10,kamar,0.5320184113765983,akses_jalan
10,11,cukup,0.4564751613313021,akses_jalan
10,12,masuk,0.45556710964324393,akses_jalan
10,13,lagi,0.4196420519839342,akses_jalan
10,14,jalan,0.3776290832140468,akses_jalan
10,15,hanya,0.3753373563089849,akses_jalan
11,1,ok,2.881786913664833,harga
11,2,pelayanan ok,0.11122820373721334,harga
11,3,pelayanan,0.09395138877758363,harga
11,4,banget,0.08418368734026126,harga
11,5,makanan ok,0.04665074799578834,harga
11,6,pemandangan ok,0.044567390540333075,harga
11,7,pemandangan,0.04264682518404888,harga
11,8,kali,0.03655898135033156,harga
11,9,bagus pelayanan,0.033462382616775525,harga
11,10,harga,0.03227503061234498,harga
11,11,lah,0.03201127980052921,harga
11,12,recommended,0.031782164138435494,harga
11,13,makanannya,0.031623700073892376,harga
11,14,mantab,0.03035132923868976,harga
11,15,ok lah,0.026530645236352977,harga
