c_value,threshold,micro_f1,macro_f1,hamming_loss,subset_accuracy
3.0,0.45,0.7818411097099621,0.7024385530060101,0.03924682395644283,0.521551724137931
3.0,0.4,0.7733333333333333,0.6982009733850038,0.042422867513611615,0.49137931034482757
1.0,0.45,0.7786069651741293,0.6980711888835027,0.04038112522686026,0.5043103448275862
0.3,0.5,0.7722007722007722,0.6940159943685321,0.04015426497277677,0.5129310344827587
1.0,0.5,0.7714285714285715,0.68826524696266,0.039927404718693285,0.5301724137931034
0.3,0.45,0.7634660421545667,0.6880567034037055,0.04582577132486389,0.4396551724137931
3.0,0.5,0.7704485488126649,0.6858825796929342,0.039473684210526314,0.5560344827586207
3.0,0.35,0.7606936416184971,0.6854702659800981,0.04696007259528131,0.4482758620689655
1.0,0.4,0.7583815028901734,0.6833013643292891,0.04741379310344827,0.4353448275862069
3.0,0.3,0.7349137931034483,0.6747372960131005,0.055807622504537205,0.375
1.0,0.35,0.7170984455958549,0.670660647261522,0.061932849364791286,0.3577586206896552
3.0,0.25,0.711864406779661,0.6651969263938073,0.06556261343012704,0.33189655172413796
1.0,0.55,0.7418478260869565,0.6603571830539051,0.04310344827586207,0.4956896551724138
3.0,0.55,0.7434842249657064,0.6538818267327958,0.042422867513611615,0.5172413793103449
0.3,0.4,0.6944444444444444,0.6486945866029658,0.06987295825771325,0.2974137931034483
0.3,0.55,0.7186629526462396,0.6450547348217669,0.04582577132486389,0.47844827586206895
1.0,0.3,0.6827458256029685,0.6391885320534587,0.07758620689655173,0.2543103448275862
3.0,0.6,0.7208976157082749,0.6338784637194034,0.04514519056261343,0.4956896551724138
1.0,0.6,0.7073863636363636,0.6267548650484661,0.04673321234119782,0.47413793103448276
3.0,0.65,0.6927536231884058,0.6161249187824879,0.04809437386569873,0.45689655172413796
1.0,0.65,0.6586466165413534,0.5883972986469811,0.051497277676950996,0.43103448275862066
0.3,0.6,0.6339969372128637,0.5800836307843235,0.05421960072595281,0.41810344827586204
0.3,0.35,0.5886026541764247,0.5777585341282988,0.11955535390199637,0.11206896551724138
1.0,0.25,0.5850654349499615,0.5601635051534495,0.12227767695099818,0.11206896551724138
0.3,0.65,0.5502471169686985,0.4918615197466704,0.061932849364791286,0.3577586206896552
0.3,0.3,0.4436974789915966,0.44839593343560086,0.22527223230490018,0.034482758620689655
0.3,0.25,0.3311897106109325,0.34224357200290223,0.37749546279491836,0.0
