sheet_name,cell,issue_type,raw_value
resto-hotel-v2,E1389,formula_in_review_text,"=+ : bersih, pelayanan sangat ramah, dengar harga kamar yang terjangkau tamu mendapatkan menu sarapan yang sangat variatif, setiap booking kamar disini mendapatkan bonus menaiki kapal speedboat secara gratis, lokasi sangat strategis berada …"
resto-hotel-v2,E1887,formula_in_review_text,"=+ Lokasi di pinggir jalan besar, Kamar cukup luas, bersih, air panas non stop, ada balkon dengan view danau toba
Channel TV kabelnya sedikit (tidak masalah sebenarnya untuk orang yang kurang …"
resto-hotel-v2,E2947,formula_in_review_text,"=+ : kamar sejuk, bersih, lingkungan bersih & terawat, harga terjangkau dengan berbagai fasilitas yg tersedia …"
resto-hotel-v2,E3005,formula_in_review_text,=+ Lokasi bagus. Sekitarnya banyak kuliner Layanan ramah. Situasi tepi danau sangat menyenangkan sekali. Situasi restoran juga menyengangkan viewnya indah angin sejuk. Lobbynya hangat. Kalau kamarnya luas. Air panas ok.. tpt tidur besar. …
